text,left,right,top,bottom,min文本块在行方向上的距,min文本块列方向距
o_o ?,2612,2646,0,7,,
A.,11,53,10,45,,
General,74,235,9,46,,
services,256,428,20,46,,
A1.,19,58,82,100,,
General,66,152,82,101,,
services,160,251,82,101,,
—,257,271,92,95,,
all,278,302,82,101,,
accounts,310,413,84,101,,
Item,27,79,127,146,,
Charge,1776,1860,123,146,,
Personal,1056,1155,172,191,,
Customer,1165,1282,172,191,,
Personal,1390,1486,156,207,1390-1282,
Integrated 缺account,1500,1622,160,203,,
|,1659,1660,154,211,,
HSBC,1780,1848,172,191,,
One,1857,1903,172,191,,
|,2023,2024,154,211,,
HSBC,2087,2154,172,191,,
Premier,2164,2257,172,190,,
|,2318,2319,154,211,,
HSBC,2420,2487,172,191,,
Jade,2495,2552,172,191,,
Cashier's,11,121,221,239,,
order,131,194,221,239,,
¢ ?,12,21,263,272,,
Issue/repurchase,32,215,258,281,,
a,224,234,263,276,,
cashier's,244,338,258,276,,
order’ ’错是上标1,346,408,254,276,,
(This,32,80,282,304,,
charge,89,162,282,305,,
will,171,205,282,300,,
be,215,240,282,300,,
wavied,248,323,282,300,,
if,334,344,282,300,,
the,352,386,282,300,,
repurchase,395,514,282,305,,
of,523,543,282,300,,
cashier’s,552,646,282,300,,
order,654,710,282,300,,
follows,718,795,282,300,,
the,803,836,282,300,,
cheque,845,924,282,305,,
HK$75,1286,1358,281,302,,
HK$60,1806,1877,281,302,,
HK$40,2136,2207,281,302,,
Waived,2445,2524,282,300,,
clearing,31,114,306,329,,
process),126,214,306,329,,
* ?,12,21,355,364,,
Loss,33,79,350,368,,
of,89,109,350,368,,
a,117,127,355,368,,
cashier's,137,230,350,368,,
order,239,296,350,368,,
HK$60,1028,1098,337,358,,
plus,1107,1149,338,361,,
HK$331,1161,1242,337,365,,
collected,1253,1348,338,365,,
on,1358,1383,343,356,,
behalf,1394,1458,338,365,,
of,1467,1487,338,356,,
Hong,1497,1552,338,365,,
Kong,1564,1615,338,361,,
HK$60,1862,1932,337,358,,
plus,1942,1984,338,361,,
HK$331,1995,2077,337,365,,
collected,2087,2183,338,365,,
on,2193,2218,343,356,,
behalf,2228,2293,338,365,,
of,2301,2321,338,356,,
Hong,2332,2387,338,365,,
Kong,2399,2450,338,361,,
Interbank,1075,1175,363,381,,"363-365=-2,同一段文本下一行比上一行高,框的不好"
Clearing,1183,1270,363,386,,
Limited,1282,1358,363,381,,
on,1368,1393,368,381,,
circulars,1403,1492,363,381,,
issued,1503,1569,363,381,,
Interbank,1909,2009,363,381,,
Clearing,2017,2104,363,386,,
Limited,2116,2193,363,381,,
on,2203,2228,368,381,,
circulars,2237,2327,363,381,,
issued,2337,2403,363,381,,
.,12,21,399,408,,
", ？",627,630,394,400,,
aatonied 错additional因框有两行,30,129,394,442,,
beans 错fee for,142,204,394,442,,
Bark 错handling,217,317,394,441,,
instructions,328,453,397,412,,
not,463,495,397,412,,
using,505,560,399,417,,
Bank's,571,642,394,412,,
standard,650,743,394,412,,
form,752,802,394,412,,
(where 缺accepted by the bank,812,885,394,416,,
HK$150,1279,1364,406,427,,
HK$150,2114,2199,406,427,,
Coins,11,77,450,468,,450-442
changing/withdrawal/exchange,87,461,450,473,,
to,470,493,452,468,,
notes 缺each bag of coins和本行的HK$2、HK$2、HK$1、Waived,504,568,452,468,,
Coins,11,77,519,537,,
paid-in,88,167,519,542,,
{must 是（,11,79,544,566,,
be,89,116,544,562,,
"pre-sorted,",126,254,544,567,,
per,265,303,549,567,,
customer,311,425,546,562,,
per,434,472,549,567,,
day),480,528,544,567,,
* ？,12,21,581,590,,
Below,32,97,576,594,,576-567
500,106,145,576,594,,
coins,154,210,576,594,,
Waived 框低了,1281,1360,572,604,,
Waived,2116,2195,576,594,,
‘+ ？,12,21,637,646,,
500,32,70,632,650,,
coins,79,134,632,650,,
or,143,164,637,650,,
more,173,227,637,650,,
2%,1163,1197,619,638,,
of,1206,1226,619,637,,
the,1233,1265,619,646,,
full,1272,1306,619,646,,
amount,1316,1398,622,637,,
paid-in,1408,1478,619,642,,
2%,1683,1716,619,638,,
of,1725,1745,619,637,,
the,1753,1787,619,646,,
full 框高低了，改成右边的,1795,1826,622,637,,
amount,1835,1918,622,637,,
paid-in. .?,1927,1998,619,642,,
| 框错,2019,2034,603,659,,
17°错1%,2055,2087,607,626,2055-1998,607-594
of,2099,2116,607,625,,
the 框两行,2131,2155,607,655,,
fil 错full因框两行,2168,2202,607,650,,
amount,2206,2288,610,625,,
Waived,2445,2524,632,650,,
(minimum,1224,1331,645,665,,
HK$50),1343,1419,643,665,,"643-646=-3,同一段文本下一行比上一行高"
(minimum,1743,1851,645,665,,
HK$50} 是）,1863,1939,643,665,,
(minimum,2073,2181,656,677,,
HK$25),2192,2268,655,677,,
Bulk,12,65,688,706,,
cash,74,127,688,706,,
deposit,137,226,688,711,,
-,235,241,698,701,,
Hong,251,313,688,711,,
Kong,324,383,688,711,,
dollar,393,461,688,706,,
notes,470,534,690,706,,
{per 是（,544,590,688,711,,
customer,598,712,690,706,,
per,721,759,693,711,,
day),767,815,688,711,,
* ？,12,21,725,734,,
Up,32,61,720,743,,720-711
to,69,90,723,738,,
200,99,138,720,738,,
pieces,147,215,720,743,,
of,223,243,720,738,,
notes,252,310,723,738,,
Waived 框高低了（原716，747），改成下一个了,1281,1360,720,738,,
Waived,2116,2194,720,738,,
* ？,12,21,768,777,,
Over,31,81,763,781,,
200,89,129,763,781,,
pieces,138,204,763,786,,
of,214,234,763,781,,
notes,243,300,766,781,,
0.25%,1130,1197,751,770,,
Fe 错of the因框两行,1206,1265,751,797,,
ayer 框错,1283,1342,751,794,,
egeoreoee 框错full amount deposited （minimum HK$50）,1355,1511,751,797,,
0.25%,1964,2032,751,770,,
teittuc 错框两行of the full,2041,2163,747,801,,
aKgeoeees 框错amount deposited （minimum HK$50）,2181,2346,751,797,,
Bulk,12,65,810,828,,
cheque,73,159,810,833,,
deposit,169,257,810,833,,
(per,266,313,810,833,,
customer,321,434,812,828,,
per,444,481,815,833,,
day),490,538,810,833,,
* ?,12,21,849,858,,
Up,32,61,844,867,,
to,69,90,847,862,,
30,99,124,844,862,,
cheques,133,223,844,867,,
Waived 框高低了（原840，871），改成下一个了,1281,1360,844,862,,
Waived,2116,2194,844,862,,
* ?,12,21,881,890,,
Over,31,81,876,894,,876-867
30,89,115,876,894,,
cheques,123,213,876,899,,
HK$1,1168,1220,875,896,,
per,1234,1267,881,899,,
additional,1276,1380,876,894,,
cheque” 错上标2,1390,1476,872,899,,872-862
HK$1,2003,2055,875,896,,
per,2069,2102,881,899,,
additional,2110,2215,876,894,,
cheque” 错上标2,2224,2311,872,899,,
Renminbi,12,124,908,926,,908-899
notes,135,199,910,926,,
deposits/withdrawals,209,465,908,931,,
Waived 缺本行Waived,2116,2195,908,926,,
Foreign,12,99,940,963,,
currency,109,213,945,963,,
notes,222,286,942,958,,
deposits/withdrawals,296,553,940,963,,940-931
Waived 缺本行Waived,2116,2195,940,958,,
Gift,11,55,972,990,,972-963
cheque,64,150,972,995,,
(per,159,205,972,995,,
cheque),214,307,972,995,,
Via,11,42,1004,1022,,
HSBC,54,115,1004,1022,,
branches! ！错是上标1,125,228,1000,1022,,感觉一个文本块列距宽了
HK$10,1287,1358,1003,1024,,
HK$8,1814,1871,1003,1024,,
Waived,2298,2376,1004,1022,,
Paper,12,79,1035,1058,,
statement® 错下标3,87,216,1031,1053,,1031-1022
To,10,34,1067,1085,,1067-1058 一个文本块被当成两行了
receive,44,119,1067,1085,,
paper,129,189,1072,1090,,
statements,197,316,1070,1085,,
HK$60_ _?,1187,1258,1066,1087,,
per,1274,1307,1072,1090,,
customer,1315,1417,1070,1085,,
p.a,1426,1456,1072,1090,,
HK$60,2022,2092,1066,1087,,
per,2102,2135,1072,1090,,
customer,2143,2245,1070,1085,,
p.a.,2254,2291,1072,1090,,
Safe,11,63,1099,1117,,1099-1090
deposit,73,161,1099,1122,,
boxes,171,238,1099,1117,,
Annual,10,86,1131,1149,,1131-1122
rental,97,155,1131,1149,,
and,164,202,1131,1149,,
other,212,268,1131,1149,,
charges,276,360,1131,1154,,
1,1125,1140,1131,1149,,
Please,1152,1219,1131,1149,,
refer,1229,1277,1131,1149,,
to,1284,1305,1134,1149,,
appropriate,1313,1437,1131,1154,,
branch,1447,1519,1131,1149,,
1,1959,1975,1131,1149,,
Please,1986,2053,1131,1149,,
refer,2063,2111,1131,1149,,
to,2118,2139,1134,1149,,
appropriate,2148,2271,1131,1154,,
branch,2281,2353,1131,1149,,
2,1029,1046,1163,1181,,1163-1154 一个文本块成两行
Customer,1056,1161,1163,1181,,
has,1170,1205,1163,1181,,
to,1213,1234,1166,1181,,
set,1243,1274,1166,1181,,
up,1283,1308,1168,1186,,
autopay,1317,1404,1166,1186,,
from,1411,1461,1163,1181,,
his/her,1471,1543,1163,1181,,
HSBC,1553,1614,1163,1181,,
2,1672,1690,1163,1181,1672-1614,
Customer,1699,1805,1163,1181,,
has,1814,1849,1163,1181,,
to,1857,1878,1166,1181,,
set,1887,1917,1166,1181,,
up,1927,1952,1168,1186,,
autopay,1961,2047,1166,1186,,
from,2055,2105,1163,1181,,
his/her,2115,2186,1163,1181,,
HSBC,2196,2257,1163,1181,,
"Jade,",2265,2322,1163,1184,,
HSBC,2334,2395,1163,1181,,
Premier,2406,2487,1163,1181,,
or,2495,2516,1168,1181,,
HSBC,2526,2587,1163,1181,,
One,2596,2639,1163,1181,,
account,1058,1144,1193,1208,,
for,1152,1181,1190,1208,,
the,1188,1222,1190,1208,,
annual,1231,1302,1190,1208,,
safe,1311,1355,1190,1208,,
deposit,1363,1442,1190,1213,,
box,1451,1489,1190,1208,,
rental,1498,1556,1190,1208,,
fee.,1565,1603,1190,1208,,
account,1892,1978,1193,1208,,
for,1986,2016,1190,1208,,
the,2023,2057,1190,1208,,
annual,2065,2136,1190,1208,,
safe,2146,2189,1190,1208,,
deposit,2198,2276,1190,1213,,
box,2286,2324,1190,1208,,
rental,2333,2391,1190,1208,,
fee.,2399,2438,1190,1208,,
1 下面是角注,13,17,1231,1241,,
The,50,71,1231,1241,,
following,76,130,1231,1244,,
group,135,170,1234,1244,,
of,175,187,1231,1241,,
customers,191,255,1231,1241,,
will,260,279,1231,1241,,
be,283,298,1231,1241,,
exempted,302,363,1231,1244,,
from,368,394,1231,1241,,
the,400,419,1231,1241,,
fee:,424,441,1231,1241,,
aged,449,479,1231,1244,,
below,483,520,1231,1241,,
18,526,538,1231,1241,,
or,544,555,1234,1241,,
66 错65,559,574,1231,1241,,
and,578,601,1231,1241,,
"above,",605,644,1231,1242,,
Senior,649,689,1231,1241,,
Citizen,692,732,1231,1241,,
Card,737,766,1231,1241,,
"holders,",769,816,1231,1242,,
recipients,822,881,1232,1244,,
of,888,898,1231,1241,,
Government's,901,986,1231,1241,,
Comprehensive,990,1085,1231,1244,,
Social,1089,1126,1231,1241,,
Security,1133,1179,1223,1249,,
"Allowance,",1185,1249,1223,1249,,
recipients,1254,1313,1232,1244,,
of,1319,1330,1231,1241,,
Govemment's,1333,1418,1231,1241,,
Disability,1423,1478,1223,1249,,
Allowance,1484,1538,1223,1249,,
and,1549,1572,1231,1241,,
the,1577,1595,1231,1241,,
physically,1599,1659,1231,1244,,
disabled,1663,1714,1231,1241,,
or,1718,1730,1234,1241,,
visually,1735,1779,1231,1244,,
impaired.,1782,1836,1231,1244,,
2,11,18,1255,1265,,
Waived,52,109,1251,1261,,
if,100,109,1243,1269,,
the,113,131,1251,1261,,
cheques,135,186,1251,1263,,
are,190,209,1254,1261,,
deposited,213,273,1251,1264,,
through,278,324,1251,1264,,
cheque,329,374,1251,1263,,
deposit,378,423,1251,1264,,
machines,427,485,1251,1261,,
or,490,502,1254,1261,,
other,506,538,1251,1261,,
non,541,564,1254,1261,,
branch,569,610,1251,1261,,
counter,615,662,1252,1261,,
channels.,666,720,1251,1261,,
3,11,18,1276,1286,,
Effective,50,103,1276,1286,,
1,110,114,1276,1286,,
January,118,169,1276,1289,,
"2023,",173,206,1276,1287,,
this,213,233,1276,1286,,
standard,238,293,1276,1286,,
charge,297,339,1276,1289,,
applies,344,387,1276,1289,,
to,393,403,1277,1286,,
Personal,408,461,1276,1286,,
Banking,465,515,1276,1289,,
HK,520,538,1276,1286,,
Dollar,544,580,1276,1286,,
"Current,",587,632,1268,1294,,
"SuperEase,",638,706,1276,1289,,
HSBC,712,749,1276,1286,,
"Jade,",752,785,1276,1287,,
HSBC,791,828,1276,1286,,
"Premier,",832,881,1276,1287,,
HSBC,887,924,1276,1286,,
"One,",928,956,1276,1287,,
Personal,961,1014,1276,1286,,
integrated I大写,1018,1082,1276,1289,,
"Account,",1085,1141,1276,1287,,
University,1147,1208,1276,1289,,
Student,1215,1261,1276,1286,,
"Account,",1270,1320,1268,1294,,
Cash,1325,1356,1276,1286,,
"Card,",1361,1392,1276,1287,,
Renminbi,1398,1456,1276,1286,,
"Savings,",1461,1512,1276,1289,,
HK,1518,1536,1276,1286,,
Dollar,1541,1578,1276,1286,,
Statement,1582,1646,1276,1286,,
"Savings,",1650,1701,1276,1289,,
CombiNations,1707,1795,1276,1286,,
Statement,1800,1864,1276,1286,,
"Savings,",1868,1919,1276,1289,,
Foreign,1925,1971,1276,1289,,
Currency,1976,2032,1276,1289,,
Current,2036,2082,1276,1286,,
or,2087,2100,1279,1286,,
any,2106,2124,1279,1289,,
Credit,2130,2166,1276,1286,,
Card,2171,2200,1276,1286,,
account,2204,2254,1277,1286,,
if,2258,2266,1276,1286,,
account,2270,2320,1277,1286,,
holdess,2324,2369,1276,1286,,
receive,2374,2418,1279,1286,,
any,2424,2445,1279,1289,,
paper,2448,2482,1268,1294,,
statement,2488,2550,1277,1286,,
in,2555,2565,1279,1286,,
a,2570,2576,1279,1286,,
ful! 错full,2582,2600,1276,1286,,
calendar,50,104,1300,1310,,
year.,108,134,1303,1313,,
The,142,163,1300,1310,,
following,168,223,1300,1313,,
group,228,264,1303,1313,,
of,269,280,1292,1318,,
customers,278,350,1300,1310,,
wil! 错will,356,376,1300,1310,,
be,380,395,1300,1310,,
exempt,399,445,1301,1313,,
from,450,477,1300,1310,,
the,484,502,1300,1310,,
annual,507,548,1300,1310,,
fee:,553,571,1300,1310,,
aged,579,610,1300,1313,,
below,614,652,1300,1310,,
18,658,672,1300,1310,,
or,676,688,1303,1310,,
65,692,707,1300,1310,,
and,712,735,1300,1310,,
"above,",739,778,1300,1311,,
recipients,784,844,1301,1313,,
of,851,862,1300,1310,,
Government's,865,951,1300,1310,,
Comprehensive,956,1053,1300,1313,,
Social,1057,1094,1300,1310,,
Security,1101,1149,1292,1318,,
"Allowance,",1157,1220,1292,1318,,
recipients,1226,1286,1301,1313,,
of,1291,1303,1300,1310,,
Government's,1307,1393,1300,1310,,
Disability,1398,1455,1292,1318,,
Allowance,1462,1520,1292,1318,,
and,1527,1551,1300,1310,,
the,1556,1574,1300,1310,,
physically,1579,1640,1300,1313,,
disabled,1644,1696,1300,1310,,
or,1700,1713,1303,1310,,
visually,1717,1762,1300,1313,,
impaired.,1766,1821,1300,1313,,
